transaction_id,member_id,partner_id,points_earned,points_redeemed,transaction_date,partner_name
TXN001,MEM001,PART01,150,0,2026-07-01,Café Central
TXN002,MEM002,PART02,0,500,2026-07-01,Gasolinera Express
TXN003,MEM003,PART03,200,0,2026-07-02,Tienda Moda
TXN004,MEM004,PART04,80,0,2026-07-02,Restaurante Sabores
TXN005,MEM005,PART01,120,0,2026-07-02,Café Central
TXN006,MEM001,PART02,0,100,2026-07-03,Gasolinera Express
TXN007,MEM002,PART03,300,0,2026-07-03,Tienda Moda
TXN008,MEM003,PART04,50,0,2026-07-03,Restaurante Sabores
TXN009,MEM004,PART01,90,0,2026-07-04,Café Central
TXN010,MEM005,PART02,0,200,2026-07-04,Gasolinera Express
TXN011,MEM001,PART03,60,0,2026-07-04,Tienda Moda
TXN012,MEM002,PART04,40,0,2026-07-05,Restaurante Sabores
TXN013,MEM003,PART01,110,0,2026-07-05,Café Central
TXN014,MEM004,PART02,0,150,2026-07-05,Gasolinera Express
TXN015,MEM005,PART03,70,0,2026-07-06,Tienda Moda
TXN016,MEM9,PART01,100,0,2026-07-06,Café Central
TXN017,MEMABC,PART02,50,0,2026-07-06,Gasolinera Express
TXN018,MEM001,PART04,-50,0,2026-07-06,Restaurante Sabores
TXN019,MEM003,PART01,9000,0,2026-07-07,Café Central
TXN020,MEM003,PART01,2000,0,2026-07-07,Café Central
TXN021,MEM003,PART01,500,0,2026-07-07,Café Central
TXN022,MEM004,PART02,100,0,2030-01-01,Gasolinera Express
TXN001,MEM002,PART03,75,0,2026-07-07,Tienda Moda
